city_development_index,training_hours,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,target
0.624,32,city_21,,Has relevent experience,Full time course,Graduate,STEM,2,oct-49,Funded Startup,,1
0.767,26,city_162,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,1
0.855,90,city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,0
0.939,25,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,0
0.827,15,city_41,,Has relevent experience,,Masters,STEM,13,<10,,1,0
0.887,48,city_100,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,0
0.55,98,city_11,,No relevent experience,Full time course,High School,,3,,,,0
0.865,142,city_93,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,1
0.855,13,city_67,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,0
0.91,47,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,0
0.91,28,city_16,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,0
0.698,228,city_90,,No relevent experience,,,,2,,Pvt Ltd,never,1
0.666,22,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,0
0.624,18,city_21,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,1
0.827,29,city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,oct-49,Pvt Ltd,1,0
0.855,46,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,0
0.55,12,city_11,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,0
0.92,17,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,0
0.893,65,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,0
0.92,35,city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,0
0.855,14,city_67,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,0
0.92,4,city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,0
0.92,12,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0
0.92,108,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0
0.92,136,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,0
0.92,27,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,oct-49,,1,0
0.796,74,city_20,,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,0
0.884,86,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,oct-49,Early Stage Startup,1,0
0.866,83,city_57,Female,No relevent experience,Part time course,Graduate,STEM,<1,oct-49,Pvt Ltd,2,0
0.92,75,city_103,,No relevent experience,Full time course,High School,,4,,,3,0
0.698,42,city_152,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,0
0.92,332,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,0
0.913,140,city_61,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,0
0.91,182,city_16,Male,No relevent experience,no_enrollment,High School,,3,,,never,0
0.92,13,city_103,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,1
0.682,172,city_19,,Has relevent experience,no_enrollment,Graduate,STEM,5,oct-49,Pvt Ltd,2,1
0.92,48,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,0
0.802,33,city_65,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,0
0.92,142,city_160,,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,0
0.579,34,city_74,,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,0
0.802,14,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,1
0.55,27,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,oct-49,Pvt Ltd,2,1
0.55,24,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,1
0.878,150,city_173,,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,0
0.92,20,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,0
0.92,140,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,0
0.91,52,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,0
0.939,160,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0
0.897,3,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,0
0.624,2,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,1
0.91,28,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0
0.754,46,city_73,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,0
0.855,210,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,0
0.926,36,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,0
0.949,160,city_98,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,1
0.624,101,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,oct-49,NGO,2,0
0.926,46,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,0
0.925,19,city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0
0.624,26,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,1
0.698,90,city_90,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,0
0.896,59,city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,0
0.92,260,city_160,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,0
0.624,74,city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,0
0.91,20,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,1
0.878,8,city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,0
0.92,131,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,0
0.836,45,city_138,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,0
0.693,109,city_82,Male,Has relevent experience,Full time course,Graduate,STEM,11,oct-49,Pvt Ltd,2,0
0.855,70,city_67,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,0
0.92,17,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,0
0.92,51,city_103,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,0
0.92,60,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,1
0.893,4,city_36,,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,0
0.926,7,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,0
0.804,164,city_102,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,0
0.666,290,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,0
0.804,145,city_102,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,0
0.92,70,city_103,,No relevent experience,no_enrollment,Phd,STEM,,,,,0
0.624,24,city_21,Male,No relevent experience,no_enrollment,,,3,,,1,0
0.92,133,city_103,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,1
0.55,20,city_11,,No relevent experience,Full time course,Graduate,STEM,2,,,1,0
0.92,76,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,0
0.698,21,city_90,Female,No relevent experience,Full time course,Masters,STEM,5,,,4,1
0.624,34,city_21,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,0
0.92,15,city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,0
0.866,156,city_57,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
0.92,15,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,0
0.926,120,city_114,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,0
0.769,47,city_157,,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,,>4,0
0.754,100,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,1
0.855,102,city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,0
0.92,52,city_103,Male,No relevent experience,no_enrollment,High School,,4,,,never,0
0.926,39,city_114,,Has relevent experience,no_enrollment,High School,,9,oct-49,,4,0
0.92,112,city_103,Male,Has relevent experience,Full time course,High School,,4,,,1,1
0.92,14,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,0
0.91,4,city_16,,Has relevent experience,no_enrollment,,,11,,,1,0
0.91,55,city_16,,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,0
0.624,49,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,1
0.91,72,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,0
0.925,141,city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,1
0.926,28,city_114,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,0
0.92,6,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,0
0.92,125,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,0
0.939,326,city_75,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,0
0.92,33,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,0
0.804,40,city_102,,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,0
0.92,198,city_160,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,1
0.92,55,city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,0
0.698,32,city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,0
0.92,11,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,0
0.754,41,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,0
0.92,87,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,1
0.855,114,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,0
0.698,33,city_70,,Has relevent experience,,,,>20,,,>4,0
0.698,15,city_90,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,0
0.91,8,city_16,,No relevent experience,Full time course,High School,,3,,,1,0
0.878,22,city_173,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,0
0.92,13,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,0
0.949,246,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,0
0.92,22,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,9,oct-49,Pvt Ltd,1,0
0.92,81,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,0
0.776,11,city_175,,Has relevent experience,Full time course,Graduate,STEM,4,oct-49,Funded Startup,1,0
0.698,24,city_94,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,1
0.92,50,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,0
0.924,15,city_104,Male,No relevent experience,Full time course,High School,,6,,,never,0
0.939,31,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,oct-49,Pvt Ltd,>4,0
0.926,84,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,0
0.897,42,city_136,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,0
0.624,105,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,10,oct-49,Pvt Ltd,>4,1
0.92,72,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0
0.789,42,city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,oct-49,Pvt Ltd,>4,1
0.698,152,city_94,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,0
0.92,60,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,0
0.624,8,city_21,Male,No relevent experience,Full time course,Masters,STEM,2,,,never,0
0.91,17,city_16,Male,No relevent experience,Full time course,Masters,STEM,13,,,3,1
0.923,33,city_83,Male,No relevent experience,no_enrollment,High School,,1,,,1,0
0.91,38,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,0
0.92,178,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,0
0.92,11,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,0
0.893,87,city_36,Male,Has relevent experience,no_enrollment,High School,,>20,,,never,0
0.802,84,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,0
0.884,32,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,0
0.887,31,city_100,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,1
0.624,39,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,0
0.775,12,city_59,,Has relevent experience,no_enrollment,Graduate,STEM,7,oct-49,Pvt Ltd,1,0
0.624,50,city_21,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,0
0.903,55,city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,1
0.55,7,city_11,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,1
0.92,104,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,0
0.92,90,city_160,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,1
0.92,8,city_103,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,0
0.624,102,city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,0
0.624,202,city_21,,Has relevent experience,no_enrollment,Masters,STEM,<1,oct-49,Pvt Ltd,1,1
0.555,22,city_145,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,0
0.624,42,city_21,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,0
0.92,50,city_160,,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,0
0.624,88,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,0
0.754,81,city_73,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,0
0.92,7,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,0
0.624,218,city_21,Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,never,0
0.91,62,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,0
0.92,83,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,0
0.939,11,city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,0
0.926,10,city_114,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,0
0.939,114,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,0
0.624,36,city_21,,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,0
0.804,17,city_102,,No relevent experience,,Masters,STEM,6,oct-49,Pvt Ltd,1,0
0.91,80,city_16,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,1
0.92,108,city_160,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,0
0.92,45,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,0
0.92,77,city_103,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,0
0.926,8,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,0
0.878,28,city_173,,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,0
0.727,37,city_142,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,0
0.91,108,city_16,,No relevent experience,Full time course,Graduate,STEM,2,,,2,1
0.92,162,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,0
0.754,41,city_73,,Has relevent experience,Full time course,High School,,9,,,>4,0
0.903,4,city_165,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,0
0.884,41,city_71,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,0
0.903,12,city_165,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,0
0.92,190,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,0
0.624,29,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,1
0.92,11,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,0
0.92,30,city_103,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,0
0.92,39,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,>4,0
0.804,16,city_102,Male,Has relevent experience,Full time course,High School,,9,,,1,0
0.926,5,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0
0.698,39,city_26,Male,No relevent experience,Full time course,High School,,8,,,never,0
0.926,29,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,0
0.624,210,city_21,,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,0
0.92,54,city_103,Other,No relevent experience,Part time course,High School,,6,50-99,Funded Startup,1,0
0.92,44,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,0
0.91,47,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,0
0.92,74,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,0
0.624,8,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,oct-49,Pvt Ltd,1,1
0.624,20,city_21,,No relevent experience,Full time course,Graduate,STEM,7,,,never,1
0.92,162,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,0
0.893,110,city_36,,No relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,0
0.762,262,city_46,Other,Has relevent experience,Part time course,High School,,3,oct-49,Pvt Ltd,1,0
0.836,6,city_138,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,0
0.666,19,city_64,Male,Has relevent experience,Part time course,Graduate,STEM,9,oct-49,Pvt Ltd,1,1
0.666,23,city_64,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,1
0.624,107,city_21,Male,No relevent experience,,Graduate,STEM,<1,,,1,1
0.897,134,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,>4,0
0.926,40,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,oct-49,Early Stage Startup,1,0
0.884,11,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,0
0.92,102,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,3,0
0.624,100,city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,0
0.923,30,city_83,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,never,0
0.92,20,city_103,,No relevent experience,no_enrollment,High School,,5,,,1,1
0.92,4,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,0
0.91,15,city_16,,No relevent experience,no_enrollment,Primary School,,5,,,never,0
0.624,14,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,1,1
0.923,103,city_83,Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,never,0
0.92,40,city_160,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,0
0.91,27,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,0
